Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,yoryio_0
TIKTOK,full_name,yoryio_0
TIKTOK,bio,
TIKTOK,followers,13
TIKTOK,following,82
TIKTOK,likes,0
TIKTOK,videos,0
TIKTOK,verified,False
TIKTOK,profile_pic,https://p16-common-sign.tiktokcdn-eu.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=02f4d9ec&x-expires=1782828000&x-signature=80lY8k4NNNftMRxPmNMWCNk9N7U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a
TIKTOK,profile_url,https://www.tiktok.com/@yoryio_0

